BOX_NO;EVENT_NO;EVENT_YEAR;EVENT_MONTH;EVENT_NAME;NB_DIAPOS;SUB_RANGE;SUB_DEB;SUB_FIN;SUB_NAME
5;14;1979;Décembre;Divers;53;53;53;53;
5;15;1980;Février;ski à Jougne;42;42;42;42;
5;16;1980;Mai;anniversaire Bertrand;12;12;12;12;
5;17;1980;Juillet;Anniversaire de mariage 15 ans;0;0;0;0;
5;18;1980;Juillet;été à Palavas;31;31;31;31;
6;1;1978;Octobre;voyage aux USA (Californie);18;1à18;1;18;vuesd'avion
6;1;1978;Octobre;voyage aux USA (Californie);35;19à53;19;53;Disney land
6;1;1978;Octobre;voyage aux USA (Californie);26;54à79;54;79;Los Angeles
6;1;1978;Octobre;voyage aux USA (Californie);12;80à91;80;91;en route vers Las Vegas
6;1;1978;Octobre;voyage aux USA (Californie);17;92à108;92;108;Calico ghost town
6;1;1978;Octobre;voyage aux USA (Californie);39;109à147;109;147;Las Végas
6;1;1978;Octobre;voyage aux USA (Californie);68;148à215;148;215;le gran canyon
6;1;1978;Octobre;voyage aux USA (Californie);50;216à265;216;265;the death valley
6;1;1978;Octobre;voyage aux USA (Californie);8;266à273;266;273;Mamoth lake
6;1;1978;Octobre;voyage aux USA (Californie);34;274à307;274;307;Yosemite national park
6;1;1978;Octobre;voyage aux USA (Californie);86;308à393;308;393;San francisco
6;1;1978;Octobre;voyage aux USA (Californie);16;394à409;394;409;los alamos (santa fe albuquerque )
7;1;1981;Août;Mariage Luc & Florence;89;89;89;89;
7;2;1981;Décembre;à PARIS;12;12;12;12;
7;3;1981;Décembre;Noêl chez France & Claude à Rueil;36;36;36;36;
7;4;1982;Décembre;Paques à Montpellier;66;66;66;66;
7;5;1982;Juin;Commarin (stage Armelle );17;17;17;17;
7;6;1982;Juin;chats à Montpellier;21;21;21;21;
7;7;1982;Juillet;Alesia;13;13;13;13;
7;8;1982;Juin;Anniversaires des enfants à Talant;17;17;17;17;
7;9;1982;Juin;à PARIS;19;19;19;19;
7;10;1982;Juin;Escrime Armelle;23;23;23;23;
7;11;1982;Juin;manoires normands;16;16;16;16;
7;12;1982;Février;Bretagne;14;14;14;14;
7;13;1982;Février;Divers Dijon;11;11;11;11;
7;14;1982;Mai;anniversaire Bertrand;4;4;4;4;
7;15;1982;Juillet;Camping à Palavas;18;18;18;18;
7;16;1982;Mai;Communion Armelle;34;34;34;34;
7;17;1982;Décembre;Noêl à Montpellier;19;19;19;19;
7;18;1982;Août;Vacances à Palavas;36;36;36;36;
7;19;1982;Décembre;à PARIS;23;23;23;23;
7;20;1982;Juin;Fête de l'école Langevin;7;7;7;7;
7;21;1982;Juin;Divers;10;10;10;10;
8;1;1980;Août;Marche;25;25;25;25;
8;2;1980;Août;Baptème au mas Simon;23;23;23;23;
8;3;1980 &81;Août;Divers;29;29;29;29;
8;4;1981;Avril;Paques à Montpellier;35;35;35;35;
8;5;1980;Août;Apt;5;5;5;5;
8;6;1981;Avril;Sri-Lanka;21;1à21;1;21;Colombo
8;6;1981;Avril;Sri-Lanka;11;22à32;22;32;Chilaw
8;6;1981;Avril;Sri-Lanka;36;33à68;33;68;Anuradhapura
8;6;1981;Avril;Sri-Lanka;9;69à77;69;77;Mihuntale
8;6;1981;Avril;Sri-Lanka;32;78à109;78;109;Nilaveli
8;6;1981;Avril;Sri-Lanka;28;110à137;110;137;Tricomalée
8;6;1981;Avril;Sri-Lanka;31;138à168;138;168;Polonnaruwa
8;6;1981;Avril;Sri-Lanka;21;169à189;169;189;Siguiriya
8;6;1981;Avril;Sri-Lanka;19;190à208;190;208;Thés, Epices
8;6;1981;Avril;Sri-Lanka;83;209à291;209;291;Kandy
8;6;1981;Avril;Sri-Lanka;16;292à307;292;307;le riz
8;6;1981;Avril;Sri-Lanka;20;308à327;308;327;Bentota
8;7;1981;Mai;Dijon-Talant;8;8;8;8;
8;8;1981;Juin;Les 4 ans de Simon;36;36;36;36;
